#tax_id,GeneID,Symbol
9606,84131,CEP78
9606,51134,CEP83
9606,387119,CEP85L
9606,375298,CERKL
9606,10715,CERS1
9606,204219,CERS3
9606,1066,CES1
9606,1071,CETP
9606,56683,CFAP298
9606,755,CFAP410
9606,80217,CFAP43
9606,286464,CFAP47
9606,220136,CFAP53
9606,149465,CFAP57
9606,255101,CFAP65
9606,629,CFB
9606,55997,CFC1
9606,1675,CFD
9606,3075,CFH
9606,3078,CFHR1
9606,3080,CFHR2
9606,10878,CFHR3
9606,10877,CFHR4
9606,81494,CFHR5
9606,3426,CFI
9606,1073,CFL2
9606,8837,CFLAR
9606,5199,CFP
9606,1080,CFTR
9606,84952,CGNL1
9606,79094,CHAC1
9606,8208,CHAF1B
9606,283489,CHAMP1
9606,1103,CHAT
9606,400916,CHCHD10
9606,51142,CHCHD2
9606,9557,CHD1L
9606,1106,CHD2
9606,1108,CHD4
9606,84181,CHD6
9606,55636,CHD7
9606,57680,CHD8
9606,55349,CHDH
9606,1111,CHEK1
9606,11200,CHEK2
9606,55743,CHFR
9606,1114,CHGB
9606,1116,CHI3L1
9606,53344,CHIC1
9606,26511,CHIC2
9606,1118,CHIT1
9606,1120,CHKB
9606,1121,CHM
9606,5119,CHMP1A
9606,25978,CHMP2B
9606,128866,CHMP4B
9606,1123,CHN1
9606,1124,CHN2
9606,140578,CHODL
9606,8646,CHRD
9606,91851,CHRDL1
9606,1129,CHRM2
9606,1131,CHRM3
9606,1134,CHRNA1
9606,1135,CHRNA2
9606,1136,CHRNA3
9606,1137,CHRNA4
9606,1138,CHRNA5
9606,1139,CHRNA7
9606,1140,CHRNB1
9606,1141,CHRNB2
9606,1144,CHRND
9606,1145,CHRNE
9606,1146,CHRNG
9606,8534,CHST1
9606,9486,CHST10
9606,50515,CHST11
9606,55501,CHST12
9606,166012,CHST13
9606,113189,CHST14
9606,51363,CHST15
9606,9435,CHST2
9606,9469,CHST3
9606,10164,CHST4
9606,23563,CHST5
9606,4166,CHST6
9606,56548,CHST7
9606,64377,CHST8
9606,83539,CHST9
9606,22856,CHSY1
9606,26097,CHTOP
9606,1147,CHUK
9606,10518,CIB2
9606,23152,CIC
9606,63924,CIDEC
9606,4261,CIITA
9606,8483,CILP
9606,493856,CISD2
9606,1154,CISH
9606,11113,CIT
9606,4435,CITED1
9606,10370,CITED2
9606,25792,CIZ1
9606,150468,CKAP2L
9606,9793,CKAP5
9606,1178,CLC
9606,23529,CLCF1
9606,1180,CLCN1
9606,1181,CLCN2
9606,1182,CLCN3
9606,1183,CLCN4
9606,1184,CLCN5
9606,1185,CLCN6
9606,1186,CLCN7
9606,1187,CLCNKA
9606,1188,CLCNKB
9606,9076,CLDN1
9606,9071,CLDN10
9606,23562,CLDN14
9606,10686,CLDN16
9606,149461,CLDN19
9606,9075,CLDN2
9606,1365,CLDN3
9606,1364,CLDN4
9606,9073,CLDN8
9606,10462,CLEC10A
9606,160364,CLEC12A
9606,23274,CLEC16A
9606,339390,CLEC4G
9606,10332,CLEC4M
9606,64581,CLEC7A
9606,130162,CLHC1
9606,1193,CLIC2
9606,53405,CLIC5
9606,9685,CLINT1
9606,6249,CLIP1
9606,7461,CLIP2
9606,79827,CLMP
9606,1201,CLN3
9606,1203,CLN5
9606,54982,CLN6
